Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,year,Amount in Millions
EWar,2019.0,Bangalore,"Fashion, Sports, Entertainment, Media & Arts",EWar Games is a e-sports and real-time gaming start-up.,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",3000000.0,Series,2020,3.0
SucSEED Indovation,2016.0,Hyderabad,Technology,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Vikrant Varshney,Venture Catalysts,5000000.0,Series,2020,5.0
TaxBuddy.com,2019.0,Mumbai,Technology,TaxBuddy for any tax related issues.,Sujit Bangar,Zenith Global,1000000.0,Series,2020,1.0
Awign Enterprises,2016.0,Bangalore,Other,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",500000.0,Series,2020,0.5
Circle of Angels,2018.0,Gurugram,Technology,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Karanpal Singh,Venture Catalysts,3000000.0,Series,2020,3.0
CoinDCX,2017.0,Mumbai,Technology,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",10000000.0,Series,2020,10.0
Glance,2016.0,Bangalore,Technology,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Naveen Tewari,Mithril Capital Management.,145000000.0,Series,2020,145.0
VerSe Innovation,2007.0,Bangalore,Other,Owner of Dailyhunt App and I-Pay,Virendra Gupta,Google,100000000.0,Series,2020,100.0
Voosh,2020.0,Bangalore,"Food, Hospitality, Tourism & Travel",Building India's largest digital food service brand,Priyam Saraswat,Better Capital,3000000.0,Pre-seed,2020,3.0
Delhivery,2011.0,Hyderabad,E-Commerce & Retail,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,"Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Steadview Capital, Canada Pension Plan Investment Board",3000000.0,Series,2020,3.0
Arya,1982.0,Noida,Technology,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation","Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,21000000.0,Series,2020,21.0
Pickrr,2015.0,New Delhi,Transport & Logistics,Pickrr is an on-demand first mile logistics company,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,4000000.0,Series,2020,4.0
PhonePe,2015.0,Andheri,Technology,PhonePe is a mobile payment application that enables users to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",20000000.0,Series,2020,20.0
Countingwell,2018.0,Bangalore,Technology,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Nirmal Shah,"Delhi Private School, UAE, Interstar",1000000.0,Series,2020,1.0
Callify.ai,2016.0,Mumbai,Technology,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,560000.0,Seed,2020,0.56
Hudle,2016.0,New Delhi,"Fashion, Sports, Entertainment, Media & Arts",Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Suhail Narain,Survam Partners,3000000.0,Series,2020,3.0
Cover it Up,2013.0,Chennai,E-Commerce & Retail,Online portal that churns out high quality products,Ronak Sarda,Angel investors,400000.0,Seed,2020,0.4
BiteSpeed,2019.0,Gurugram,E-Commerce & Retail,Chat-based commerce for E-commerce brands,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,275000.0,Seed,2020,0.275
WakeFit,2016.0,Bangalore,Technology,Wakefitkart is a mattress manufacturing company,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,20000000.0,Series,2020,20.0
Sreyas Holistic Remedies,2008.0,Hyderabad,Technology,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Dr Prashant Soma,Blacksoil,1000000.0,Series,2020,1.0
Fleeca India,2016.0,Jaipur,Transport & Logistics,FLEECA is a Tyre Care Provider company.,Tikam Jain,Bridgestone India,3000000.0,Series,2020,3.0
M1xchange,2017.0,Hyderabad,Technology,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,"BEENEXT, Mayfield Fund",4500000.0,Series,2020,4.5
Exotel,2011.0,Bangalore,Technology,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,Shivakumar Ganesan,"A91 Partners, Artha India Ventures",5000000.0,Series,2020,5.0
PagarBook,2019.0,Bangalore,Technology,"Staff's Salary, Work & Attendance Management Application","Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",15000000.0,Series,2020,15.0
PointOne Capital,2020.0,Bangalore,Technology,Pre-seed/Seed focussed VC investor,Mihir Jha,Venture Catalysts,3000000.0,Series,2020,3.0
Ayana,2017.0,Bangalore,Energy & Environment,Ayana Renewable Power is an Indian renewable energy platform,Shivanand N,"NIIF Ltd, CDC Group",390000000.0,Series,2020,390.0
Fisdom,2015.0,Bangalore,Technology,Fisdom is a fintech company that offers investment advisory services through an application.,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital",7000000.0,Series,2020,7.0
Tinker Coders,2020.0,Noida,Technology,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,Anoop Gautam,STEMROBO Technologies,3000000.0,Seed,2020,3.0
Infinite Uptime,2015.0,Pune,Technology,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000.0,Series,2020,5.1
HappyLocate,2016.0,Bangalore,Technology,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed","Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,500000.0,Series,2020,0.5
PhonePe,2015.0,New Delhi,Technology,PhonePe is a mobile payments application that allows the user to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart,700000000.0,Series,2020,700.0
Loop Health,2017.0,Pune,Technology,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",2300000.0,Seed,2020,2.3
NeoDocs,2020.0,Mumbai,Technology,Neodocs analyses medical reports and provides personalised health recommendations remotely.,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund,3000000.0,Pre-seed,2020,3.0
The ePlane,2016.0,Hyderabad,Transport & Logistics,Transforming the mobility landscape using aerial transport.,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest,3000000.0,Seed,2020,3.0
TagMango,2019.0,Mumbai,Technology,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",700000.0,Seed,2020,0.7
The New Shop,2019.0,New Delhi,Technology,The New Shop is a chain of high speed retail stores,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,500000.0,Seed,2020,0.5
MobiKwik,2009.0,Gurugram,Technology,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.","Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson",7000000.0,Series,2020,7.0
DebugsBunny,2020.0,Pune,Technology,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,Sumit Sanjay Singare,India Angel Fund,100000.0,Series,2020,0.1
BHIVE Investech,2014.0,Bangalore,Technology,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,1000000.0,Seed,2020,1.0
Rivigo,2014.0,Gurugram,Transport & Logistics,Rivigo is a technology-enabled logistics platform provider that offers transport services.,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors",19000000.0,Series,2020,19.0
ZipLoan,2015.0,New Delhi,Finance,ZipLoan is a online lending platform,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India",3000000.0,Series,2020,3.0
Swipez,2014.0,Pune,Technology,Swipez is a payment collection platform.,Vivek Iyer,"9Unicorns, Anicut",3000000.0,Series,2020,3.0
Humus,2019.0,Hyderabad,Technology,Farmgate to Retail outlet Agri-Fresh produce supply chain,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle.",3000000.0,Series,2020,3.0
Artivatic.ai,2017.0,Bangalore,Technology,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",Layak Singh,"SenseAI Ventures, Saurabh Chugh",3000000.0,Series,2020,3.0
Prescinto,2016.0,Ahmedabad,Technology,Prescinto provides solutions for solar monitoring and analytics solutions.,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts",3000000.0,Seed,2020,3.0
Toppeq,2019.0,Mumbai,Technology,SaaS-based equity management platform,Nandini Sankar,Venture Catalysts,3000000.0,Seed,2020,3.0
Bolo Indya,2019.0,Gurugram,Technology,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.","Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath",400000.0,Series,2020,0.4
Bombay Play,2017.0,Bangalore,Technology,Bombay Play is a Card and Toy Company Making games for India.,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",1000000.0,Seed,2020,1.0
FreshToHome,2015.0,Bangalore,E-Commerce & Retail,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,Investment Corporation of Dubai (ICD),3000000.0,Series,2020,3.0
KIKO TV,2020.0,Mumbai,"Fashion, Sports, Entertainment, Media & Arts",KIKO TV is an AI-based short live video e-commerce platform.,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi",3000000.0,Seed,2020,3.0
Atomberg Technologies,2012.0,Mumbai,Technology,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances","Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners",9000000.0,Series,2020,9.0
DealShare,2018.0,Jaipur,E-Commerce & Retail,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",21000000.0,Series,2020,21.0
Smallcase,2015.0,Bangalore,Technology,Changing how India invests in equities,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","WEH Ventures, BEENEXT",3000000.0,Series,2020,3.0
CueMath,2011.0,Bangalore,Technology,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,Manan Khurma,"Sequoia Capital India, CapitalG",40000000.0,Series,2020,40.0
Gamerji,2018.0,Ahmedabad,Technology,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.","Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.,3000000.0,Seed,2020,3.0
5C Network,2014.0,Hyderabad,Technology,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",1200000.0,Series,2020,1.2
Ethereum Push Notification Service,2020.0,Mumbai,Technology,EPNS is a decentralized notification protocol,"Harsh Rajat, Richa Joshi",Prolific angel investors,750000.0,Seed,2020,0.75
Mihup,2016.0,Kolkata,Technology,Intelligence-based personal mobile assistant app,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",1500000.0,Series,2020,1.5
RuralBasket,2019.0,Tirunelveli Tamilnadu,E-Commerce & Retail,Naturally grown and healthy products directly from farmers.,Palani Rajan,Nativelead Foundation,500000.0,Series,2020,0.5
WayCool Foods,2015.0,Chennai,Technology,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.","Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",7800000.0,Debt,2020,7.8
Infra.Market,2016.0,Thane,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",20000000.0,Series,2020,20.0
Info Edge Venture,1995.0,Noida,Technology,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",Sanjeev Bikhchandani,Lightbox,50000000.0,Series,2020,50.0
Clovia,2013.0,Noida,E-Commerce & Retail,Clovia is the online lingerie retailer,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",4000000.0,Series,2020,4.0
Codingal,2020.0,Bangalore,Technology,Coding education platform for K-12 students,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",560000.0,Seed,2020,0.56
CRED,2018.0,Bangalore,Finance,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,Kunal Shah,"General Catalyst, Ribbit Capital",80000000.0,Series,2020,80.0
Vistaar Finance,2010.0,Bangalore,Finance,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,"Brahmanad, Ramakrishna Nishtala",FMO,30000000.0,Series,2020,30.0
Let's Dive,2020.0,Bangalore,Technology,A platform for remote employee engagement and building team culture,"Nitesh Agrawal, Om Prakash",Surge,1700000.0,Series,2020,1.7
Habitat,2016.0,Bangalore,Technology,"Habitat, a social learning edtech platform for civil service aspirants","Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital",600000.0,Seed,2020,0.6
SAWO Labs,2020.0,Mumbai,Technology,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,Prabhat Sahu,"StartupXseed Ventures, 100X.VC",600000.0,Seed,2020,0.6
Signzy,2015.0,Bangalore,Technology,Signzy are creating 'building blocks for a Digital Trust system.,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard",3000000.0,Series,2020,3.0
KopyKitab,2013.0,Bangalore,Technology,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.","Amit Shrivastava, Sumeet Verma","Paula Mariwala, Siddharth Anand",3000000.0,Series,2020,3.0
Kyt,2020.0,Singapore,Technology,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge,2500000.0,Series,2020,2.5
Raskik,2019.0,Bangalore,"Food, Hospitality, Tourism & Travel",All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns",1000000.0,Series,2020,1.0
GetWork,2019.0,Gurugram,Technology,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,India Accelerator,40000.0,Pre-seed,2020,0.04
Mobile Premier League (MPL),2018.0,Bangalore,"Fashion, Sports, Entertainment, Media & Arts",Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",500000.0,Series,2020,0.5
Pravasirojgar,2020.0,Bangalore,Other,Initiative for blue-collar job workers,Sonu Sood,GoodWorker.,33000000.0,Series,2020,33.0
Omatra Hotels,2017.0,Kolkata,Technology,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify,3000000.0,Seed,2020,3.0
Awign,2016.0,Bangalore,Other,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",3000000.0,Series,2020,3.0
NewsReach,2018.0,Gujarat,Technology,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network.",1500000.0,Seed,2020,1.5
Cashfree,2015.0,Bangalore,Technology,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",35000000.0,Series,2020,35.0
Credgenics,2018.0,New Delhi,Technology,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Series,2020,3.0
GeoIQ,2018.0,Bangalore,Technology,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.","Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",300000.0,Seed,2020,0.3
Country Delight,2015.0,Haryana,Technology,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners",25000000.0,Series,2020,25.0
Quintype,2014.0,Bangalore,"Fashion, Sports, Entertainment, Media & Arts","A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",Chirdeep Shetty,IIFL AMC,3500000.0,Series,2020,3.5
CARS24,2015.0,Haryana,Technology,CARS24 is an India-based platform for selling used cars.,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings",200000000.0,Series,2020,200.0
Astrogate Labs,2017.0,Bangalore,Technology,Astrogate Labs provides high-quality products related to space infrastructure.,Byju Raveendran,"Venture Catalysts, Speciale Invest",3000000.0,Series,2020,3.0
Power Gummies,2018.0,New Delhi,Technology,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,Venture Catalysts,3000000.0,Bridge,2020,3.0
Cityflo,2015.0,Mumbai,Transport & Logistics,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",7000000.0,Series,2020,7.0
AlgoBulls,2019.0,Mumbai,Finance,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts,200000.0,Series,2020,0.2
Credgenics,2018.0,Gurugram,Technology,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Series,2020,3.0
Inntot,2014.0,Kerala,Technology,"Inntot Technologies, is a technology driven company.",Rajith Nair,Unicorn India Ventures,3000000.0,Series,2020,3.0
Ensuredit,2019.0,Gurugram,Technology,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts,300000.0,Series,2020,0.3
Shipsy,2015.0,Gurugram,Technology,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners",6000000.0,Series,2020,6.0
ERPNext,2008.0,Mumbai,Technology,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",Rushabh Mehta,Rainmatter,1000000.0,Series,2020,1.0
LightSpeedAI,2019.0,Bangalore,Technology,Developer of an optoelectronic processor designed to accelerate AI computations.,"Rohin Y, PV Ramana","YourNest, growX ventures",3000000.0,Series,2020,3.0
Grip Invest,2020.0,Gurugram,Technology,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital,3000000.0,Series,2020,3.0
Unacademy,2015.0,Bangalore,Technology,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management",3000000.0,Series,2020,3.0
Yellow Classes,2020.0,Gurugram,Technology,New-age fun-learning platform for kids.,"Arpit Mittal, Anshul Gupta",India Quotient,1300000.0,Series,2020,1.3
Plum,2019.0,Bangalore,Technology,High quality health insurance and health benefits,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners",4100000.0,Series,2020,4.1
STAGE,2019.0,Hyderabad,Technology,STAGE is an Indian language content platform for artist-led entertainment.,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,1000000.0,Series,2020,1.0
Nykaa,2012.0,Mumbai,HealthCare,Nykaa is an online marketplace for different beauty and wellness products.,Falguni Nayar,"Alia Bhatt, Katrina Kaif",3000000.0,Series,2020,3.0
Kaagaz Scanner,2020.0,Bangalore,Technology,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures,575000.0,Series,2020,0.575
NIRA,2017.0,Bangalore,Technology,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.","Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars",1000000.0,Series,2020,1.0
Prolixr,2018.0,Gurugram,Technology,A premium skincare brand committed towards building innovative skin care wellness.,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj",3000000.0,Seed,2020,3.0
Byju's,2011.0,Bangalore,Technology,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management",200000000.0,Series,2020,200.0
DaMENSCH,2018.0,Bangalore,E-Commerce & Retail,DaMENSCH is a designer and seller of men's apparel.,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India",6000000.0,Series,2020,6.0
Country Delight,2015.0,Haryana,"Food, Hospitality, Tourism & Travel",Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",25000000.0,Series,2020,25.0
SignalX,2018.0,Hyderabad,Technology,SignalX offers an artificial intelligence-powered SaaS platform,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Seed,2020,0.8
Lancify,2018.0,Bangalore,Technology,Lancify is building the world's strongest young workforce,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",300000.0,Series,2020,0.3
Krimanshi,2015.0,Jodhpur,Technology,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",600000.0,Seed,2020,0.6
Instoried,2018.0,Bangalore,Technology,Instoried is an augmented writing platform which improves customer interest and engagement.,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",1000000.0,Series,2020,1.0
PlayerzPot,2015.0,Mumbai,Technology,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes","Yogesh, Mitesh Gangar",Venture Catalysts,3000000.0,Series,2020,3.0
Instamojo,2012.0,Bangalore,Technology,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.","Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","BASE, Gunosy Capital",3000000.0,Series,2020,3.0
